,Mkt-RF,SMB,HML,RMW,CMA,RF
20160302,0.54,0.6,0.71,-0.64,-0.1,0.001
20160303,0.51,0.57,0.65,0.38,0.37,0.001
20160304,0.37,0.33,0.29,0.08,0.07,0.001
20160307,0.21,1.33,0.54,-0.35,0.43,0.001
20160308,-1.27,-1.27,-0.49,0.56,0.14,0.001
20160309,0.5,0.11,0.38,0.22,0.13,0.001
20160310,-0.11,-0.74,0.63,0.29,0.19,0.001
20160311,1.69,0.3,0.19,-0.34,-0.31,0.001
20160314,-0.12,-0.13,-0.87,0.07,-0.24,0.001
20160315,-0.36,-1.43,0.67,0.39,0.07,0.001
20160316,0.63,0.12,-0.04,0.7,-0.03,0.001
20160317,0.72,0.97,0.58,0.19,0.69,0.001
20160318,0.54,0.41,-0.19,-0.2,0.19,0.001
20160321,0.1,-0.28,-0.31,-0.11,-0.35,0.001
20160322,-0.05,-0.08,-0.44,-0.31,-0.26,0.001
20160323,-0.86,-1.21,-0.09,0.52,0.01,0.001
20160324,0,0.42,-0.06,-0.01,-0.03,0.001
20160328,0.04,-0.04,0.14,-0.05,0.24,0.001
20160329,1.07,1.65,-1.18,0.2,-0.58,0.001
20160330,0.41,-0.27,0.15,-0.06,0.02,0.001
20160331,-0.11,0.41,-0.48,-0.08,-0.12,0.001
20160401,0.64,-0.34,-0.62,-0.42,-0.14,0
20160404,-0.41,-0.34,-0.74,-0.25,-0.23,0
20160405,-0.94,-0.18,-0.36,0.09,0.18,0
20160406,1.14,0.06,-0.82,-0.49,-0.63,0
20160407,-1.23,-0.09,-0.35,-0.02,0.21,0
20160408,0.29,0.13,0.68,0.42,0.28,0
20160411,-0.28,0.01,0.95,0.01,0.29,0
20160412,0.99,0.01,0.85,0.1,-0.16,0
20160413,1.23,0.96,0.36,-0.45,-0.34,0
20160414,0.03,-0.26,0.18,-0.36,-0.12,0
20160415,-0.04,0.29,-0.33,0.16,0.16,0
20160418,0.65,0.14,-0.19,-0.16,-0.04,0
20160419,0.29,-0.18,1.48,-0.27,0.37,0
20160420,0.15,0,0.54,-0.34,-0.12,0
20160421,-0.47,-0.01,-0.59,-0.6,-0.34,0
20160422,0.12,1.03,0.49,-0.05,0.96,0
20160425,-0.24,-0.66,-0.18,-0.01,-0.16,0
20160426,0.29,0.82,0.78,0.35,0.61,0
20160427,0.21,0.25,0.68,-0.1,0.79,0
20160428,-0.96,-0.21,0.05,-0.48,0.55,0
20160429,-0.5,-0.2,0.38,-0.09,-0.25,0
20160502,0.78,-0.04,-0.36,-0.06,-0.1,0.001
20160503,-1.05,-0.74,-0.5,0.52,0.02,0.001
20160504,-0.66,-0.17,0.06,0.4,0.29,0.001
20160505,-0.08,-0.52,0.09,0.18,0.01,0.001
20160506,0.38,0.07,0.24,0.14,0.24,0.001
20160509,0.05,0.18,-1.48,0,-0.51,0.001
20160510,1.26,-0.36,0.47,-0.07,0.05,0.001
20160511,-0.89,-0.34,0.78,-0.47,0,0.001
20160512,-0.11,-0.59,0.14,0.34,0.11,0.001
20160513,-0.82,0.28,-0.66,-0.56,-0.18,0.001
20160516,0.99,0.21,-0.24,-0.01,-0.31,0.001
20160517,-0.95,-0.68,0.61,-0.03,-0.09,0.001
20160518,0.1,0.15,0.84,-1.34,-0.65,0.001
20160519,-0.33,-0.32,-0.29,0.33,-0.01,0.001
20160520,0.75,0.84,-0.29,-0.38,-0.37,0.001
20160523,-0.18,0.24,-0.32,-0.17,0.09,0.001
20160524,1.43,0.61,-0.34,-0.1,-0.39,0.001
20160525,0.72,-0.13,0.58,0.24,-0.1,0.001
20160526,-0.04,-0.16,-0.51,0.14,-0.22,0.001
20160527,0.49,0.35,-0.22,-0.09,-0.09,0.001
20160531,-0.01,0.45,-0.36,-0.24,-0.33,0.001
20160601,0.2,0.64,-0.25,-0.25,0.08,0.001
20160602,0.35,0.25,-0.59,-0.23,-0.06,0.001
20160603,-0.38,-0.18,-0.09,0.49,0.17,0.001
20160606,0.6,0.72,0.32,-0.1,-0.11,0.001
20160607,0.12,0.23,0.11,0.34,0.23,0.001
20160608,0.37,0.43,-0.12,0.05,-0.11,0.001
20160609,-0.27,-0.43,-0.22,0.29,0.13,0.001
20160610,-1.05,-0.4,-0.18,0.07,0.59,0.001
20160613,-0.83,-0.37,0.1,-0.28,-0.04,0.001
20160614,-0.19,0.14,-0.71,0.24,0.03,0.001
20160615,-0.11,0.27,-0.05,0,0.05,0.001
20160616,0.24,-0.31,-0.4,0.28,0.35,0.001
20160617,-0.3,0.08,0.94,0.48,0.62,0.001
20160620,0.71,0.6,-0.01,-0.15,0.12,0.001
20160621,0.21,-0.61,0.5,-0.18,-0.01,0.001
20160622,-0.2,-0.3,0.08,0.06,0,0.001
20160623,1.45,0.56,0.43,-0.51,-0.2,0.001
20160624,-3.7,0,-1.14,0.84,0.08,0.001
20160627,-2.07,-1.07,-0.67,0.36,0.42,0.001
